"","adf.01_noInt","adf.05_noInt","adf.1_noInt","HF.01_noInt","HF.05_noInt","HF.1_noInt","adf.01_wInt","adf.05_wInt","adf.1_wInt","HF.01_wInt","HF.05_wInt","HF.1_wInt"
"7-40-pois-.6-50",0.025,0.734,0.821,0.0195,0.0195,0.0191,0,0.003,0.087,0.0135,0.0135,0.0135
"7-40-pois-.6-75",0.88,0.903,0.846,0.1101,0.1101,0.1077,0.033,0.656,0.704,0.0677,0.0677,0.0673
"7-40-pois-.6-100",0.972,0.895,0.83,0.2211,0.2211,0.2166,0.761,0.832,0.748,0.1309,0.1309,0.1299
"7-40-pois-.6-200",0.976,0.905,0.841,0.46,0.46,0.445,0.954,0.847,0.752,0.3076,0.3076,0.3024
"8-40-nopois-.2-50",0.08,0.7778,0.815,0.0355,0.0355,0.0345,0,0.0087,0.1043,0.1023,0.1023,0.1022
"8-40-nopois-.2-75",0.9035,0.8878,0.8244,0.1557,0.1557,0.1509,0.0749,0.4754,0.409,0.2697,0.2697,0.2695
"8-40-nopois-.2-100",0.949,0.87,0.8021,0.2678,0.2678,0.2544,0.6568,0.514,0.3705,0.391,0.391,0.39
"8-40-nopois-.2-200",0.92,0.8304,0.7581,0.4987,0.4987,0.469,0.6049,0.397,0.2834,0.5853,0.5853,0.5841
"8-40-nopois-.6-50",0.0758,0.7718,0.8099,0.0316,0.0316,0.0304,0,0.0097,0.149,0.1135,0.1135,0.1135
"8-40-nopois-.6-75",0.9102,0.8922,0.8333,0.1541,0.1541,0.1477,0.0989,0.688,0.692,0.2938,0.2938,0.2934
"8-40-nopois-.6-100",0.9674,0.8998,0.8353,0.2711,0.2711,0.2602,0.8089,0.8068,0.6978,0.4043,0.4043,0.4035
"8-40-nopois-.6-200",0.9604,0.8868,0.8225,0.5044,0.5044,0.4727,NA,NA,NA,0.5875,0.5875,0.5869
"8-40-pois-.2-50",0.088,0.247,0.162,0.0776,0.0776,0.0749,0,0.001,0.002,0.0016,0.0016,0.0016
"8-40-pois-.2-75",0.321,0.172,0.1,0.2007,0.2007,0.1915,0.004,0.001,0,0.0065,0.0065,0.0064
"8-40-pois-.2-100",0.264,0.109,0.035,0.2855,0.2855,0.2719,0.003,0,0,0.016,0.016,0.0162
"8-40-pois-.2-200",0.064,0.013,0.005,0.4738,0.4738,0.4458,0,0,0,0.085,0.085,0.0822
"8-40-pois-.6-50",0.118,0.41,0.328,0.0884,0.0884,0.0859,0,0.003,0.007,0.0056,0.0056,0.0055
"8-40-pois-.6-75",0.518,0.359,0.241,0.226,0.226,0.2155,0.009,0.004,0.001,0.0214,0.0214,0.0214
"8-40-pois-.6-100",0.472,0.301,0.203,0.3237,0.3237,0.3077,0.008,0.001,0,0.0418,0.0418,0.0409
"8-40-pois-.6-200",0.269,0.122,0.062,0.5137,0.5137,0.4787,0,0,0,0.1721,0.1721,0.1657
